活着 To Live, 剧情  家庭  历史 ,1994-06-30中国香港上映
钢琴家 The Pianist, 剧情  音乐  传记  历史  战争 ,2002-09-25多平台上线
勇敢的心 Braveheart, 剧情  动作  传记  历史  战争 ,1995-05-24多平台上线
阿飞正传 Days of Being Wild, 剧情  爱情  犯罪 ,2018-06-25中国大陆上映
射雕英雄传之东成西就 The Eagle Shooting Heroes, 喜剧  奇幻  武侠  古装 ,1993-02-05中国香港上映
爱·回家 집으로..., 剧情  家庭 ,2002-04-05韩国上映
初恋这件小事 สิ่งเล็กเล็กที่เรียกว่า...รัก, 喜剧  爱情 ,2012-06-05中国大陆上映
泰坦尼克号 Titanic, 剧情  爱情  灾难 ,1998-04-03中国大陆上映
迁徙的鸟 The Travelling Birds, 纪录片 ,2001-12-12多平台上线
蝙蝠侠：黑暗骑士 The Dark Knight, 剧情  动作  科幻  惊悚  犯罪 ,2008-07-18多平台上线
