天气之子,https://maoyan.com/films/1250952,2019-11-01,爱情／动画／奇幻
误杀,https://maoyan.com/films/1218273,2019-12-13,剧情／犯罪
唐人街探案2,https://maoyan.com/films/344990,2018-02-16,喜剧／动作／悬疑
哪吒之魔童降世,https://maoyan.com/films/1211270,2019-07-26,动画／喜剧／奇幻
少年的你,https://maoyan.com/films/1218029,2019-10-25,爱情／青春／剧情
哥斯拉2：怪兽之王,https://maoyan.com/films/246061,2019-05-31,科幻／灾难／动作
战狼2,https://maoyan.com/films/344264,2017-07-27,动作／战争
吹哨人,https://maoyan.com/films/1227006,2019-12-06,剧情／犯罪／悬疑
恐怖电影院2,https://maoyan.com/films/343355,2017-10-20,恐怖／惊悚
野性的呼唤,https://maoyan.com/films/1225578,2020-02-21,剧情／冒险
